Categoria;Arquivo;Extensão;Tamanho_bytes
01_HDS_Documentacao;HDS_002_Color_System_v1.docx;.docx;37770
01_HDS_Documentacao;HDS_003_Typography_System_v1.docx;.docx;37638
01_HDS_Documentacao;HDS_004_Logo_System_v1.docx;.docx;37687
01_HDS_Documentacao;HDS_005_Graphic_Assets_v1.docx;.docx;37639
01_HDS_Documentacao;HDS_006_Icon_Library_v1.docx;.docx;37660
01_HDS_Documentacao;HDS_007_Dashboard_Design_System_v1.docx;.docx;37725
01_HDS_Documentacao;HDS_008_UI_Kit_v1.docx;.docx;37850
01_HDS_Documentacao;HDS_009_Marketing_Design_System_v1.docx;.docx;36972
01_HDS_Documentacao;HDS_010_Sales_Kit_v1.docx;.docx;36885
01_HDS_Documentacao;HDS_011_Asset_Library_v1.docx;.docx;36888
01_HDS_Documentacao;HDS_012_Humanati_Illustration_System_v1.docx;.docx;37806
01_HDS_Documentacao;HDS_013_Humanati_Object_Library_v1.docx;.docx;37733
01_HDS_Documentacao;HDS_014_Dashboard_Component_Library_v1.docx;.docx;40827
01_HDS_Documentacao;HDS_015_Motion_System_v1.docx;.docx;61038
01_HDS_Documentacao;HDS_017_Marketing_Campaign_System_v1.docx;.docx;37483
01_HDS_Documentacao;HDS_018_Sales_Enablement_System_v1.docx;.docx;37443
01_HDS_Documentacao;HDS_019_Website_Design_System_v1.docx;.docx;37493
01_HDS_Documentacao;HDS_020_Product_Design_System_v1.docx;.docx;37398
01_HDS_Documentacao;HDS_v1_Foundation_Humanati.docx;.docx;37093
02_Brand_Logos_e_Master_Packages;Humanati with Vibe Coding.png;.png;24236
02_Brand_Logos_e_Master_Packages;Humanati with Vibe Coding_20260801_091011_0000.png;.png;28199
02_Brand_Logos_e_Master_Packages;Humanati-with-Vibe-Coding.svg;.svg;6795
02_Brand_Logos_e_Master_Packages;Humanati_H_Exact_SVG_Package.zip;.zip;2197
02_Brand_Logos_e_Master_Packages;a_clean_flat_graphic_design_brand_guideline_page.png;.png;1500274
02_Brand_Logos_e_Master_Packages;a_clean_graphic_design_presentation_board_brand.png;.png;1546528
02_Brand_Logos_e_Master_Packages;a_clean_high_resolution_brand_guideline_poster_in.png;.png;1458806
02_Brand_Logos_e_Master_Packages;a_clean_high_resolution_corporate_brand_guideline.png;.png;1545956
02_Brand_Logos_e_Master_Packages;a_clean_technical_brand_identity_guideline_poster.png;.png;1395868
02_Brand_Logos_e_Master_Packages;a_flat_graphic_design_brand_guideline_logo_maste.png;.png;1601696
02_Brand_Logos_e_Master_Packages;a_flat_graphic_design_brand_guidelines_poster.png;.png;1482275
02_Brand_Logos_e_Master_Packages;a_high_detail_ui_brand_style_guide_poster_design.png;.png;1600158
02_Brand_Logos_e_Master_Packages;a_high_resolution_brand_guideline_logo_master_pa.png;.png;1566368
